iso3,birthreg_incompleteness_collapsed,birthreg_incompleteness_temporal,childlabor_collapsed,childlabor_temporal,emdat_disaster_shock_collapsed,emdat_disaster_shock_temporal,ndgain_vuln_collapsed,ndgain_vuln_temporal,ucdp_conflict_intensity_collapsed,ucdp_conflict_intensity_temporal,unctad_export_concentration_collapsed,unctad_export_concentration_temporal,unhcr_idps_collapsed,unhcr_idps_temporal,unhcr_refugees_coo_collapsed,unhcr_refugees_coo_temporal
LTU,0.0,0.0,,,0.16566964814328813,0.13767937025427748,0.359642639101339,0.35519662309283256,0.0,0.0,0.104,0.09824999999999803,0.0,0.0,0.0007340013669044324,0.0006361014321798756
LUX,0.0,0.0,,,0.06794561987084424,0.05403982370936546,0.31132701026558,0.416005539840237,0.0,0.0,0.094,0.2680714285714272,0.0,0.0,0.000147707869284444,0.00014328346134745155
LVA,0.0,0.0,,,0.0627503852905809,0.05123562754072554,0.359746053956523,0.37644489993489555,0.0,0.0,0.073,0.0365,0.0,0.0,0.0020470236704527673,0.0017695619772847395
MAR,0.030999999999999917,0.030999999999999917,0.1125,0.1125,0.050684192422329015,0.0485480947159594,0.368260848468096,0.2651109503808402,0.0007090117733505741,0.0007720872608007874,0.087,0.27162499999999823,0.0,0.0,0.005802867469444809,0.004659108780136517
MCO,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0025885946519634486
MDA,0.0040000000000000036,0.0040000000000000036,0.725,0.725,0.0008346147410030195,0.004659315860512588,0.393818145977452,0.3696289098914197,0.0,0.0,0.094,0.2879821428571418,0.0,0.0,0.051383961909931546,0.041511715437775466
MDG,0.262,0.262,0.65,0.65,0.05182009322959807,0.04558350968942847,0.557511934775167,0.5092842904592098,0.0008133907645610398,0.000706067655812857,0.14,0.269821428571425,0.0,0.0,0.0003747854369015869,0.0003228551790522098
MDV,0.01200000000000001,0.01200000000000001,,,0.0016815113329127186,0.0030923586034667773,0.550394839290001,0.46050692727302456,0.0,0.0,0.172,0.26358928571428103,,,0.002538845280116105,0.0027174596567070006
MEX,0.030000000000000027,0.030000000000000027,0.140173575,0.140173575,0.006677825733069591,0.00862143265181687,0.386509692483505,0.4364746231484381,0.5528308367671356,0.5547882906790088,0.102,0.3128750000000002,0.04010530042765146,0.03019693208670227,0.004179549069189112,0.003782434055484668
MHL,0.16200000000000003,0.16200000000000003,,,0.5,0.5003229320728881,0.58989667559945,0.7354156584743247,0.0,0.0,0.749,0.3745,,,0.0,0.0009663844082739411
MKD,0.0020000000000000018,0.0020000000000000018,0.495,0.495,0.022199578043575852,0.024690101304412508,0.372276057783572,0.47537977981702456,0.0,0.0,0.092,0.3278749999999994,0.0,9.348174093448481e-05,0.021125228093812676,0.021205282644576585
MLI,0.133,0.133,0.7424999999999999,0.7424999999999999,0.18655241446659826,0.09703716996631723,0.575536510573169,0.3702781255511604,0.39961443865548657,0.417607788630628,0.266,0.5664821428571469,0.3285866692920897,0.28023870877603774,0.307799528526862,0.23284787530568965
